"species","compound_name","Station 1","Station 2","Station 4","Station 6","Station 7","Station 8","Station 9","Station 10","Station 11"
"SQDG","SQDG 32:0 +1O",75355807.6824752,205662262.175085,191395183.727389,74824894.8373667,56157955.3134706,525376885.696314,53829965.5166691,218547704.579514,146568245.469533
"SQDG","SQDG 32:1",85218234.2914416,252166985.799536,316867927.251793,174305610.364761,51427048.6361763,31343400.2710196,39453529.5644413,79568004.0976743,219037959.561652
"SQDG","SQDG 32:2",16299421.7929126,54283851.1723407,84186330.9783883,185261263.844987,40634527.9547709,18456627.9305621,27922557.4345931,29053243.4305549,45821828.8921025
"SQDG","SQDG 32:2 +1O",1771840.06989843,7542881.11298145,9197441.71322288,5078228.26224653,3277717.97929298,7900893.72731345,1671288.74453688,9696613.42395485,1434462.77431199
"SQDG","SQDG 32:2 +3O",2135446.79724432,8667147.07582746,6900842.50035575,1465464.801766,447298.015795729,129536140.628544,939210.814861939,3462448.63275893,6788379.62547607
"SQDG","SQDG 32:3 +2O",1077005.46100925,4509819.68597838,6049091.6696776,53538.7349639214,1670195.85999384,1704096.32524342,49807.3470711974,3274993.56963706,3038152.03960467
"SQDG","SQDG 34:1",24021283.5671162,28497585.5792785,30826882.0745538,22932616.7897392,19810211.7506948,8116123.92857317,12841291.8117695,35887638.9653889,34013749.6207957
"SQDG","SQDG 34:1 +1O",6178912.35318783,25620543.5413002,19096935.7204261,7923687.01013814,3145647.05741913,131495012.551738,5659368.86501008,15851630.3505578,13875522.7939947
"SQDG","SQDG 34:1 +3O",2550806.10207368,22180740.8407539,13575870.5802706,6403667.27544066,18841238.3850649,15991889.8243366,978691.230790596,8620981.08681832,4693230.96768364
"SQDG","SQDG 34:2",3465883.05777681,8368842.00967271,8520971.36017888,15732418.8035108,3732328.52284337,1109175.61008721,6202872.00019412,2403894.87336539,4787179.75658797
"SQDG","SQDG 34:2 +2O",2602227.36955576,18960113.5419036,10826686.8833043,959610.266206868,29734785.4340431,15182932.4690377,620669.563823841,11145958.7760456,2391689.56852414
"SQDG","SQDG 34:2 +3O",9379366.73413985,39303201.4662868,26483468.3818607,2649704.3807566,2823813.37894976,161319272.062269,980221.119675203,34146462.2812972,26101007.6469339
"SQDG","SQDG 34:3",7150796.60297537,19641420.1979887,22290892.9546653,54832747.9777098,8896080.45123621,2270261.86806846,16635631.3268728,5494947.78902807,8141342.79802675
"SQDG","SQDG 34:3 +3O",2039141.42067681,6620369.21867566,4886504.20242733,2977743.4671784,561611.617791865,33500089.2233986,2478173.13283293,5847381.74811607,3899875.37737124
"SQDG","SQDG 34:4",20384513.0880418,36589283.6087711,102963570.582011,101873066.308451,53852402.0925825,19455510.7348759,30353286.8494395,29255873.1050264,22616621.5944465
"SQDG","SQDG 34:8",600354.079817597,3163047.82317647,2999871.70024822,1087199.10477933,288102.260761036,3060219.38676877,985981.350112609,1663024.15988747,1482093.43517111
"SQDG","SQDG 36:0 +1O",4217265.23265469,15163023.3590923,5349940.26519619,2029940.98680545,339778.846376289,183767345.55824,166476.611627691,29107419.1205886,13401284.9833202
"SQDG","SQDG 36:1",8969526.32297753,23801049.7087027,18386581.1353134,1850914.87707825,3155675.95857765,4403741.62634962,196412.056893793,12671020.6391444,17115419.1696243
